<http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="original"
, <http://web.archive.org/web/20150415212219/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Wed, 15 Apr 2015 17:22:19 GMT"
, <http://web.archive.org/web/20150417203842/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Fri, 17 Apr 2015 16:38:42 GMT"
, <http://web.archive.org/web/20150423044852/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Thu, 23 Apr 2015 00:48:52 GMT"
, <http://web.archive.org/web/20150425210502/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Sat, 25 Apr 2015 17:05:02 GMT"
, <http://web.archive.org/web/20150612143245/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Fri, 12 Jun 2015 10:32:45 GMT"
, <http://web.archive.org/web/20150612235652/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Fri, 12 Jun 2015 19:56:52 GMT"
, <http://web.archive.org/web/20150702091006/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Thu, 02 Jul 2015 05:10:06 GMT"
, <http://web.archive.org/web/20150905142749/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Sat, 05 Sep 2015 10:27:49 GMT"
, <http://wayback.archive-it.org/all/20150912074049/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Sat, 12 Sep 2015 03:40:49 GMT"
, <http://wayback.archive-it.org/all/20150919160803/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Sat, 19 Sep 2015 12:08:03 GMT"
, <http://web.archive.org/web/20150926081626/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Sat, 26 Sep 2015 04:16:26 GMT"
, <http://wayback.archive-it.org/all/20151009221056/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Fri, 09 Oct 2015 18:10:56 GMT"
, <http://wayback.archive-it.org/all/20151016094027/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Fri, 16 Oct 2015 05:40:27 GMT"
, <http://wayback.archive-it.org/all/20151023190448/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Fri, 23 Oct 2015 15:04:48 GMT"
 , <http://mementoproxy.cs.odu.edu/aggr/timegate/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="timegate"
 , <http://mementoproxy.cs.odu.edu/aggr/timemap/link/1/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="self"; type="application/link-format"; from ="Sat, 13 Jul 2013 11:26:20 GMT";until="Fri, 23 Oct 2015 15:04:48 GMT"
