<https://info.internet.org/en/>;rel="original"
,<http://web.archive.org/web/20160108014129/http://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 01:41:29 GMT"
,<http://web.archive.org/web/20160108031515/https://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 03:15:15 GMT"
,<http://web.archive.org/web/20160108031516/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 08 Jan 2016 03:15:16 GMT"
,<http://web.archive.org/web/20160108031527/http://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 03:15:27 GMT"
,<http://web.archive.org/web/20160108051642/https://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 05:16:42 GMT"
,<http://web.archive.org/web/20160108051643/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 08 Jan 2016 05:16:43 GMT"
,<http://web.archive.org/web/20160108051649/http://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 05:16:49 GMT"
,<http://web.archive.org/web/20160108084159/https://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 08:41:59 GMT"
,<http://web.archive.org/web/20160108084200/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 08 Jan 2016 08:42:00 GMT"
,<http://web.archive.org/web/20160108084206/http://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 08:42:06 GMT"
,<http://web.archive.org/web/20160108115454/https://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 11:54:54 GMT"
,<http://web.archive.org/web/20160108115455/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 08 Jan 2016 11:54:55 GMT"
,<http://web.archive.org/web/20160108115501/http://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 11:55:01 GMT"
,<http://web.archive.org/web/20160108123353/https://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 12:33:53 GMT"
,<http://web.archive.org/web/20160108123355/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 08 Jan 2016 12:33:55 GMT"
,<http://web.archive.org/web/20160108123401/http://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 12:34:01 GMT"
,<http://web.archive.org/web/20160108161905/https://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 16:19:05 GMT"
,<http://web.archive.org/web/20160108161906/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 08 Jan 2016 16:19:06 GMT"
,<http://web.archive.org/web/20160108161916/http://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 16:19:16 GMT"
,<http://web.archive.org/web/20160109004316/https://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 00:43:16 GMT"
,<http://web.archive.org/web/20160109004319/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 09 Jan 2016 00:43:19 GMT"
,<http://web.archive.org/web/20160109004324/http://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 00:43:24 GMT"
,<http://web.archive.org/web/20160109041606/https://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 04:16:06 GMT"
,<http://web.archive.org/web/20160109041614/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 09 Jan 2016 04:16:14 GMT"
,<http://web.archive.org/web/20160109041652/http://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 04:16:52 GMT"
,<http://web.archive.org/web/20160109044444/https://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 04:44:44 GMT"
,<http://web.archive.org/web/20160109044445/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 09 Jan 2016 04:44:45 GMT"
,<http://web.archive.org/web/20160109070604/https://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 07:06:04 GMT"
,<http://web.archive.org/web/20160109070605/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 09 Jan 2016 07:06:05 GMT"
,<http://web.archive.org/web/20160109070610/http://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 07:06:10 GMT"
,<http://web.archive.org/web/20160109101551/https://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 10:15:51 GMT"
,<http://web.archive.org/web/20160109101552/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 09 Jan 2016 10:15:52 GMT"
,<http://web.archive.org/web/20160109101559/http://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 10:15:59 GMT"
,<http://web.archive.org/web/20160109182228/https://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 18:22:28 GMT"
,<http://web.archive.org/web/20160109182229/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 09 Jan 2016 18:22:29 GMT"
,<http://web.archive.org/web/20160109182236/http://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 18:22:36 GMT"
,<http://web.archive.org/web/20160109191415/https://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 19:14:15 GMT"
,<http://web.archive.org/web/20160109191416/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 09 Jan 2016 19:14:16 GMT"
,<http://web.archive.org/web/20160109191423/http://info.internet.org/en>;rel="memento"; datetime="Sat, 09 Jan 2016 19:14:23 GMT"
,<http://web.archive.org/web/20160110125055/https://info.internet.org/en>;rel="memento"; datetime="Sun, 10 Jan 2016 12:50:55 GMT"
,<http://web.archive.org/web/20160110125056/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 10 Jan 2016 12:50:56 GMT"
,<http://web.archive.org/web/20160110125103/http://info.internet.org/en>;rel="memento"; datetime="Sun, 10 Jan 2016 12:51:03 GMT"
,<http://web.archive.org/web/20160110180645/https://info.internet.org/en>;rel="memento"; datetime="Sun, 10 Jan 2016 18:06:45 GMT"
,<http://web.archive.org/web/20160110180646/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 10 Jan 2016 18:06:46 GMT"
,<http://web.archive.org/web/20160110180653/http://info.internet.org/en>;rel="memento"; datetime="Sun, 10 Jan 2016 18:06:53 GMT"
,<http://web.archive.org/web/20160110194011/https://info.internet.org/en>;rel="memento"; datetime="Sun, 10 Jan 2016 19:40:11 GMT"
,<http://web.archive.org/web/20160110194012/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 10 Jan 2016 19:40:12 GMT"
,<http://web.archive.org/web/20160110194020/http://info.internet.org/en>;rel="memento"; datetime="Sun, 10 Jan 2016 19:40:20 GMT"
,<http://web.archive.org/web/20160110222225/https://info.internet.org/en>;rel="memento"; datetime="Sun, 10 Jan 2016 22:22:25 GMT"
,<http://web.archive.org/web/20160110222226/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 10 Jan 2016 22:22:26 GMT"
,<http://web.archive.org/web/20160111014209/https://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 01:42:09 GMT"
,<http://web.archive.org/web/20160111014210/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 11 Jan 2016 01:42:10 GMT"
,<http://web.archive.org/web/20160111014216/http://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 01:42:16 GMT"
,<http://web.archive.org/web/20160111035507/https://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 03:55:07 GMT"
,<http://web.archive.org/web/20160111035508/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 11 Jan 2016 03:55:08 GMT"
,<http://web.archive.org/web/20160111035515/http://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 03:55:15 GMT"
,<http://web.archive.org/web/20160111101701/https://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 10:17:01 GMT"
,<http://web.archive.org/web/20160111101706/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 11 Jan 2016 10:17:06 GMT"
,<http://web.archive.org/web/20160111101727/http://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 10:17:27 GMT"
,<http://web.archive.org/web/20160111171546/https://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 17:15:46 GMT"
,<http://web.archive.org/web/20160111171547/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 11 Jan 2016 17:15:47 GMT"
,<http://web.archive.org/web/20160111171553/http://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 17:15:53 GMT"
,<http://web.archive.org/web/20160111200647/https://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 20:06:47 GMT"
,<http://web.archive.org/web/20160111200649/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 11 Jan 2016 20:06:49 GMT"
,<http://web.archive.org/web/20160111200659/http://info.internet.org/en>;rel="memento"; datetime="Mon, 11 Jan 2016 20:06:59 GMT"
,<http://web.archive.org/web/20160112073558/https://info.internet.org/en>;rel="memento"; datetime="Tue, 12 Jan 2016 07:35:58 GMT"
,<http://web.archive.org/web/20160112073559/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 12 Jan 2016 07:35:59 GMT"
,<http://web.archive.org/web/20160112073605/http://info.internet.org/en>;rel="memento"; datetime="Tue, 12 Jan 2016 07:36:05 GMT"
,<http://web.archive.org/web/20160112094553/https://info.internet.org/en>;rel="memento"; datetime="Tue, 12 Jan 2016 09:45:53 GMT"
,<http://web.archive.org/web/20160112094554/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 12 Jan 2016 09:45:54 GMT"
,<http://web.archive.org/web/20160112201845/https://info.internet.org/en>;rel="memento"; datetime="Tue, 12 Jan 2016 20:18:45 GMT"
,<http://web.archive.org/web/20160112201846/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 12 Jan 2016 20:18:46 GMT"
,<http://web.archive.org/web/20160112201852/http://info.internet.org/en>;rel="memento"; datetime="Tue, 12 Jan 2016 20:18:52 GMT"
,<http://web.archive.org/web/20160112211700/https://info.internet.org/en>;rel="memento"; datetime="Tue, 12 Jan 2016 21:17:00 GMT"
,<http://web.archive.org/web/20160112211701/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 12 Jan 2016 21:17:01 GMT"
,<http://web.archive.org/web/20160112211707/http://info.internet.org/en>;rel="memento"; datetime="Tue, 12 Jan 2016 21:17:07 GMT"
,<http://web.archive.org/web/20160113014450/https://info.internet.org/en>;rel="memento"; datetime="Wed, 13 Jan 2016 01:44:50 GMT"
,<http://web.archive.org/web/20160113014451/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 13 Jan 2016 01:44:51 GMT"
,<http://web.archive.org/web/20160113014457/http://info.internet.org/en>;rel="memento"; datetime="Wed, 13 Jan 2016 01:44:57 GMT"
,<http://web.archive.org/web/20160113112252/https://info.internet.org/en>;rel="memento"; datetime="Wed, 13 Jan 2016 11:22:52 GMT"
,<http://web.archive.org/web/20160113112253/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 13 Jan 2016 11:22:53 GMT"
,<http://web.archive.org/web/20160113112259/http://info.internet.org/en>;rel="memento"; datetime="Wed, 13 Jan 2016 11:22:59 GMT"
,<http://web.archive.org/web/20160113200208/http://info.internet.org/en/>;rel="memento"; datetime="Wed, 13 Jan 2016 20:02:08 GMT"
,<http://web.archive.org/web/20160114005226/https://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 00:52:26 GMT"
,<http://web.archive.org/web/20160114005227/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 14 Jan 2016 00:52:27 GMT"
,<http://web.archive.org/web/20160114005233/http://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 00:52:33 GMT"
,<http://web.archive.org/web/20160114023057/https://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 02:30:57 GMT"
,<http://web.archive.org/web/20160114023058/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 14 Jan 2016 02:30:58 GMT"
,<http://web.archive.org/web/20160114023104/http://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 02:31:04 GMT"
,<http://web.archive.org/web/20160114031727/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 14 Jan 2016 03:17:27 GMT"
,<http://web.archive.org/web/20160114055935/https://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 05:59:35 GMT"
,<http://web.archive.org/web/20160114055936/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 14 Jan 2016 05:59:36 GMT"
,<http://web.archive.org/web/20160114055942/http://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 05:59:42 GMT"
,<http://web.archive.org/web/20160114061946/https://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 06:19:46 GMT"
,<http://web.archive.org/web/20160114062003/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 14 Jan 2016 06:20:03 GMT"
,<http://web.archive.org/web/20160114210415/https://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 21:04:15 GMT"
,<http://web.archive.org/web/20160114210418/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 14 Jan 2016 21:04:18 GMT"
,<http://web.archive.org/web/20160114210500/http://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 21:05:00 GMT"
,<http://web.archive.org/web/20160114231746/https://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 23:17:46 GMT"
,<http://web.archive.org/web/20160114231747/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 14 Jan 2016 23:17:47 GMT"
,<http://web.archive.org/web/20160114231754/http://info.internet.org/en>;rel="memento"; datetime="Thu, 14 Jan 2016 23:17:54 GMT"
,<http://web.archive.org/web/20160115001931/https://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 00:19:31 GMT"
,<http://web.archive.org/web/20160115001932/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 15 Jan 2016 00:19:32 GMT"
,<http://web.archive.org/web/20160115001939/http://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 00:19:39 GMT"
,<http://web.archive.org/web/20160115072523/https://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 07:25:23 GMT"
,<http://web.archive.org/web/20160115072524/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 15 Jan 2016 07:25:24 GMT"
,<http://web.archive.org/web/20160115072530/http://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 07:25:30 GMT"
,<http://web.archive.org/web/20160115075431/https://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 07:54:31 GMT"
,<http://web.archive.org/web/20160115075432/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 15 Jan 2016 07:54:32 GMT"
,<http://web.archive.org/web/20160115075438/http://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 07:54:38 GMT"
,<http://web.archive.org/web/20160115101832/https://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 10:18:32 GMT"
,<http://web.archive.org/web/20160115101834/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 15 Jan 2016 10:18:34 GMT"
,<http://web.archive.org/web/20160115101853/http://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 10:18:53 GMT"
,<http://web.archive.org/web/20160115181820/https://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 18:18:20 GMT"
,<http://web.archive.org/web/20160115181821/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 15 Jan 2016 18:18:21 GMT"
,<http://web.archive.org/web/20160115181829/http://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 18:18:29 GMT"
,<http://web.archive.org/web/20160115194939/https://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 19:49:39 GMT"
,<http://web.archive.org/web/20160115194944/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 15 Jan 2016 19:49:44 GMT"
,<http://web.archive.org/web/20160115195005/http://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 19:50:05 GMT"
,<http://web.archive.org/web/20160115235418/https://info.internet.org/en>;rel="memento"; datetime="Fri, 15 Jan 2016 23:54:18 GMT"
,<http://web.archive.org/web/20160115235420/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 15 Jan 2016 23:54:20 GMT"
,<http://web.archive.org/web/20160116004410/https://info.internet.org/en>;rel="memento"; datetime="Sat, 16 Jan 2016 00:44:10 GMT"
,<http://web.archive.org/web/20160116004412/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 16 Jan 2016 00:44:12 GMT"
,<http://web.archive.org/web/20160116004425/http://info.internet.org/en>;rel="memento"; datetime="Sat, 16 Jan 2016 00:44:25 GMT"
,<http://web.archive.org/web/20160116023700/https://info.internet.org/en>;rel="memento"; datetime="Sat, 16 Jan 2016 02:37:00 GMT"
,<http://web.archive.org/web/20160116023701/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 16 Jan 2016 02:37:01 GMT"
,<http://web.archive.org/web/20160116023711/http://info.internet.org/en>;rel="memento"; datetime="Sat, 16 Jan 2016 02:37:11 GMT"
,<http://web.archive.org/web/20160116065714/https://info.internet.org/en>;rel="memento"; datetime="Sat, 16 Jan 2016 06:57:14 GMT"
,<http://web.archive.org/web/20160116065715/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 16 Jan 2016 06:57:15 GMT"
,<http://web.archive.org/web/20160116065721/http://info.internet.org/en>;rel="memento"; datetime="Sat, 16 Jan 2016 06:57:21 GMT"
,<http://web.archive.org/web/20160116120528/https://info.internet.org/en>;rel="memento"; datetime="Sat, 16 Jan 2016 12:05:28 GMT"
,<http://web.archive.org/web/20160116120529/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 16 Jan 2016 12:05:29 GMT"
,<http://web.archive.org/web/20160116120535/http://info.internet.org/en>;rel="memento"; datetime="Sat, 16 Jan 2016 12:05:35 GMT"
,<http://web.archive.org/web/20160117100140/https://info.internet.org/en>;rel="memento"; datetime="Sun, 17 Jan 2016 10:01:40 GMT"
,<http://web.archive.org/web/20160117100141/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 17 Jan 2016 10:01:41 GMT"
,<http://web.archive.org/web/20160117100147/http://info.internet.org/en>;rel="memento"; datetime="Sun, 17 Jan 2016 10:01:47 GMT"
,<http://web.archive.org/web/20160117120122/https://info.internet.org/en>;rel="memento"; datetime="Sun, 17 Jan 2016 12:01:22 GMT"
,<http://web.archive.org/web/20160117120123/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 17 Jan 2016 12:01:23 GMT"
,<http://web.archive.org/web/20160117120129/http://info.internet.org/en>;rel="memento"; datetime="Sun, 17 Jan 2016 12:01:29 GMT"
,<http://web.archive.org/web/20160117135008/https://info.internet.org/en>;rel="memento"; datetime="Sun, 17 Jan 2016 13:50:08 GMT"
,<http://web.archive.org/web/20160117135009/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 17 Jan 2016 13:50:09 GMT"
,<http://web.archive.org/web/20160117135015/http://info.internet.org/en>;rel="memento"; datetime="Sun, 17 Jan 2016 13:50:15 GMT"
,<http://web.archive.org/web/20160117161259/https://info.internet.org/en>;rel="memento"; datetime="Sun, 17 Jan 2016 16:12:59 GMT"
,<http://web.archive.org/web/20160117161300/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 17 Jan 2016 16:13:00 GMT"
,<http://web.archive.org/web/20160117161306/http://info.internet.org/en>;rel="memento"; datetime="Sun, 17 Jan 2016 16:13:06 GMT"
,<http://web.archive.org/web/20160117173537/https://info.internet.org/en>;rel="memento"; datetime="Sun, 17 Jan 2016 17:35:37 GMT"
,<http://web.archive.org/web/20160117173541/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 17 Jan 2016 17:35:41 GMT"
,<http://web.archive.org/web/20160118010728/https://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 01:07:28 GMT"
,<http://web.archive.org/web/20160118010731/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 18 Jan 2016 01:07:31 GMT"
,<http://web.archive.org/web/20160118010753/http://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 01:07:53 GMT"
,<http://web.archive.org/web/20160118161917/https://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 16:19:17 GMT"
,<http://web.archive.org/web/20160118161918/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 18 Jan 2016 16:19:18 GMT"
,<http://web.archive.org/web/20160118161930/http://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 16:19:30 GMT"
,<http://web.archive.org/web/20160118184843/https://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 18:48:43 GMT"
,<http://web.archive.org/web/20160118184847/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 18 Jan 2016 18:48:47 GMT"
,<http://web.archive.org/web/20160118184924/http://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 18:49:24 GMT"
,<http://web.archive.org/web/20160118213031/https://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 21:30:31 GMT"
,<http://web.archive.org/web/20160118213032/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 18 Jan 2016 21:30:32 GMT"
,<http://web.archive.org/web/20160118213038/http://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 21:30:38 GMT"
,<http://web.archive.org/web/20160118214505/https://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 21:45:05 GMT"
,<http://web.archive.org/web/20160118214506/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 18 Jan 2016 21:45:06 GMT"
,<http://web.archive.org/web/20160118214515/http://info.internet.org/en>;rel="memento"; datetime="Mon, 18 Jan 2016 21:45:15 GMT"
,<http://web.archive.org/web/20160119080821/https://info.internet.org/en>;rel="memento"; datetime="Tue, 19 Jan 2016 08:08:21 GMT"
,<http://web.archive.org/web/20160119080826/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 19 Jan 2016 08:08:26 GMT"
,<http://web.archive.org/web/20160119080849/http://info.internet.org/en>;rel="memento"; datetime="Tue, 19 Jan 2016 08:08:49 GMT"
,<http://web.archive.org/web/20160119102315/https://info.internet.org/en>;rel="memento"; datetime="Tue, 19 Jan 2016 10:23:15 GMT"
,<http://web.archive.org/web/20160119102316/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 19 Jan 2016 10:23:16 GMT"
,<http://web.archive.org/web/20160119102323/http://info.internet.org/en>;rel="memento"; datetime="Tue, 19 Jan 2016 10:23:23 GMT"
,<http://web.archive.org/web/20160119163820/https://info.internet.org/en>;rel="memento"; datetime="Tue, 19 Jan 2016 16:38:20 GMT"
,<http://web.archive.org/web/20160119163821/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 19 Jan 2016 16:38:21 GMT"
,<http://web.archive.org/web/20160119163827/http://info.internet.org/en>;rel="memento"; datetime="Tue, 19 Jan 2016 16:38:27 GMT"
,<http://web.archive.org/web/20160119223957/https://info.internet.org/en>;rel="memento"; datetime="Tue, 19 Jan 2016 22:39:57 GMT"
,<http://web.archive.org/web/20160119233302/https://info.internet.org/en>;rel="memento"; datetime="Tue, 19 Jan 2016 23:33:02 GMT"
,<http://web.archive.org/web/20160119233303/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 19 Jan 2016 23:33:03 GMT"
,<http://web.archive.org/web/20160119233309/http://info.internet.org/en>;rel="memento"; datetime="Tue, 19 Jan 2016 23:33:09 GMT"
,<http://web.archive.org/web/20160120021310/https://info.internet.org/en>;rel="memento"; datetime="Wed, 20 Jan 2016 02:13:10 GMT"
,<http://web.archive.org/web/20160120021311/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 20 Jan 2016 02:13:11 GMT"
,<http://web.archive.org/web/20160120021317/http://info.internet.org/en>;rel="memento"; datetime="Wed, 20 Jan 2016 02:13:17 GMT"
,<http://web.archive.org/web/20160121013519/https://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 01:35:19 GMT"
,<http://web.archive.org/web/20160121013520/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 21 Jan 2016 01:35:20 GMT"
,<http://web.archive.org/web/20160121013526/http://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 01:35:26 GMT"
,<http://web.archive.org/web/20160121033828/https://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 03:38:28 GMT"
,<http://web.archive.org/web/20160121033829/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 21 Jan 2016 03:38:29 GMT"
,<http://web.archive.org/web/20160121033835/http://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 03:38:35 GMT"
,<http://web.archive.org/web/20160121034351/https://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 03:43:51 GMT"
,<http://web.archive.org/web/20160121034352/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 21 Jan 2016 03:43:52 GMT"
,<http://web.archive.org/web/20160121034403/http://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 03:44:03 GMT"
,<http://web.archive.org/web/20160121060737/https://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 06:07:37 GMT"
,<http://web.archive.org/web/20160121060738/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 21 Jan 2016 06:07:38 GMT"
,<http://web.archive.org/web/20160121060744/http://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 06:07:44 GMT"
,<http://web.archive.org/web/20160121120741/https://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 12:07:41 GMT"
,<http://web.archive.org/web/20160121120743/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 21 Jan 2016 12:07:43 GMT"
,<http://web.archive.org/web/20160121120806/http://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 12:08:06 GMT"
,<http://web.archive.org/web/20160121170520/https://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 17:05:20 GMT"
,<http://web.archive.org/web/20160121170522/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 21 Jan 2016 17:05:22 GMT"
,<http://web.archive.org/web/20160121170532/http://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 17:05:32 GMT"
,<http://web.archive.org/web/20160121204659/https://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 20:46:59 GMT"
,<http://web.archive.org/web/20160121204700/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 21 Jan 2016 20:47:00 GMT"
,<http://web.archive.org/web/20160121204705/http://info.internet.org/en>;rel="memento"; datetime="Thu, 21 Jan 2016 20:47:05 GMT"
,<http://web.archive.org/web/20160122071436/https://info.internet.org/en>;rel="memento"; datetime="Fri, 22 Jan 2016 07:14:36 GMT"
,<http://web.archive.org/web/20160122071437/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 22 Jan 2016 07:14:37 GMT"
,<http://web.archive.org/web/20160122071443/http://info.internet.org/en>;rel="memento"; datetime="Fri, 22 Jan 2016 07:14:43 GMT"
,<http://web.archive.org/web/20160122082814/https://info.internet.org/en>;rel="memento"; datetime="Fri, 22 Jan 2016 08:28:14 GMT"
,<http://web.archive.org/web/20160122082815/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 22 Jan 2016 08:28:15 GMT"
,<http://web.archive.org/web/20160122082822/http://info.internet.org/en>;rel="memento"; datetime="Fri, 22 Jan 2016 08:28:22 GMT"
,<http://wayback.archive-it.org/all/20160122201729/https://info.internet.org/en>;rel="memento"; datetime="Fri, 22 Jan 2016 20:17:29 GMT"
,<http://wayback.archive-it.org/all/20160122201730/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 22 Jan 2016 20:17:30 GMT"
